Method,RMSE,MAE,Recovered_SNR_dB,Coverage_95
Standard Neural Network,0.2881995025762836,0.22464881837368011,3.6103652,
Ablation PINN Without Physics,0.2859786988892287,0.2242247611284256,3.677556,
Hybrid Physics-Calibrated Bayesian PINN v3,0.22973967660212924,0.17953476309776306,5.5795097,0.953369140625
