Method,RMSE,MAE,Recovered_SNR_dB,Coverage_95
Ablation PINN Without Physics,0.21768676782823265,0.17146063656872138,6.047588807100592,
Standard Neural Network,0.27102766581262056,0.20939915434681863,4.1439569327147225,
Bayesian Physics-Informed PINN,0.404017717472662,0.3379671929361455,0.6762212142294771,0.97705078125
Moving Average,0.494512244962472,0.3634523557131751,-1.079311569784537,
Kalman Filter,0.5393561315194492,0.4137146972496559,-1.833282976132652,
Probability Inversion,2.440510186418566,1.9410335567564507,-14.945383064954028,
